id,prompt_id,issue,party
lubbjtw,25,COL,
lub5h3l,26,COL,
lu9bzl2,27,COL,
lu9b2zb,28,COL,
lu9c1ol,29,COL,
lu9oiw8,30,COL,
lua96xt,31,COL,
lu9ihgl,32,COL,
luabktf,33,COL,
luap6y1,34,COL,
lu9gbic,35,COL,
luf1ly9,36,COL,
luaa160,37,COL,ALP
lual8u4,38,COL,LNP
luaau9a,39,COL,
lub2mjn,40,COL,
lubgtsu,41,COL,
luewxqt,42,,
luf5jpq,43,COL,
lub8ex2,44,COL,
lu9pqpu,45,COL,
luaaza0,46,COL,
lua9mcb,47,COL,
luao7yo,48,COL,
luetky3,49,COL,
lueo7tj,50,COL,
lua7m29,51,COL,LNP
lubml2p,52,COL,
lueqxco,53,COL,
lue6v9q,54,COL,
lu9by51,55,COL,
lubvxyr,56,,
luazd84,57,COL,
lub0drk,58,COL,
lua72h9,59,COL,
lu9culm,60,COL,
lub47ym,61,COL,
lubnkyl,62,COL,
lub0k74,63,COL,
lubevew,64,COL,
lubmfh1,65,COL,
lua0yy6,66,COL,
lu9wx0f,67,COL,
lu9ydms,68,COL,
luaa81i,69,COL,
lubgib9,70,COL,
lufdx6l,71,,
lu9ooy3,72,COL,
lu9psro,73,COL,
lu9ij6m,74,COL,
lua0c9r,75,COL,
lu9vnbo,76,COL,
lubf2oz,77,COL,
luav5xe,78,COL,
lue6h8w,79,COL,
lu9xihn,80,COL,
lu9pehp,81,COL,
lu9jq5g,82,COL,
lu9iolv,83,COL,
luaaamf,84,COL,
luf9c1e,85,COL,
luaza2h,86,COL,LNP
luaircp,87,COL,
luakaif,88,COL,
luasykp,89,COL,
luaekh7,90,COL,
lubn3hm,91,COL,
lu9c5cr,92,COL,
lua2glu,93,COL,
lufc2xj,94,COL,
lublklt,95,COL,
lub6pf4,96,COL,
lua93qm,97,COL,
lua9ott,98,COL,
lu9t9t2,99,COL,
lua9e6a,100,COL,
luc12iu,101,COL,
lub4ex2,102,COL,
lubmr8e,103,COL,
luaf0sr,104,COL,
luaa3wl,105,COL,
luffz8c,106,COL,
lu9s4bh,107,COL,
lubai8z,108,COL,
lua63ui,109,COL,
lu9ktr4,1,COL,
lub6b2h,2,COL,
lubh2g9,3,COL,
luameps,4,COL,
lubvr2h,5,COL,
lu9y8rn,6,COL,
lu9q15q,7,,
lubfj1v,8,,
lufb2zj,9,COL,
luevcgb,10,,ALP
lubyzow,11,,
luaktn6,12,AL,ALP
luetypn,13,COL,
lubr0u6,14,COL,
lu9d8kj,15,,
lubw3n8,16,COL,
luajib9,17,COL,
luabjhc,18,H,
luaajdz,19,COL,
lubfv08,20,COL,
lubi1wk,21,COL,
lu9tvml,22,COL,
luaabzr,23,,
lubqx1p,24,,
lubjnfj,25,COL,
luabob5,26,,
lufga48,27,,
lu9tf7x,28,COL,
lubl91q,29,COL,
lu9u0lt,30,,
lub6st7,31,COL,
luf1ug8,32,COL,
luc09s0,33,COL,
luaajlu,34,COL,
luafons,35,,
lu9dhwv,36,COL,
luaqjlr,37,,
luaaoeh,38,,
lu9tzbn,39,COL,
luamsv7,40,COL,
lufgz5d,41,COL,
lu9yi58,42,COL,
lua7h27,43,COL,
luf5ruj,44,,
lucqzbj,45,COL,
lua0b8n,46,COL,
lu9y5ae,47,,
lua0rgq,48,COL,
lucinxd,49,,
lueoefv,50,COL,
lua0h8m,51,COL,
lubr3xd,52,COL,
lu9yegg,53,COL,
lubi4oz,54,,
luec8gs,55,,
lubuog8,56,COL,
lub6bv9,57,,
lu9yjd6,58,COL,
luebi8p,59,COL,
lua2t5m,60,COL,
luadr97,61,COL,
lu81pa7,62,,
lu87wl7,63,,
lu8ewch,64,,
lu6fobq,65,AL,ON
lu8g2rf,66,,
lu6h40v,67,AL,
lu8lndr,68,,
lu6i65g,69,,
lu98ef6,70,,
lub2ttg,71,,
lu70gr6,72,,LNP
lubsdt9,73,,LNP
lub21ms,74,,LNP
lu93x5l,75,,
lub26m6,76,,
lubu05d,77,,
lub2f4x,78,,LNP
lub2aqt,79,,
lubbg1b,80,,
lub2qgq,81,,
lub2tp6,82,,
lub35fx,83,,
lub3d5p,84,,
lu5m1r7,85,,
lu5vnty,86,,
lu5lpkw,87,,
lu651lv,88,,
lu5ql7m,89,,
lu5vfau,90,,
lu878so,91,,
lu8p660,92,,
lu5mx97,93,YC,
lu5lo3f,94,,
lu5njj5,95,COL,
lu5sfos,96,COL,
lu5o2nr,1,COL,
lu5u4ee,2,,
lu5y61f,3,,
lu8azgt,4,YC,
lu8mfz6,5,,
lu8q03a,6,,
luc6q08,7,YC,
lu5nkml,8,,
lu5vyvx,9,YC,
lu5swk9,10,YC,
lu5lzax,11,COL,
lu5oaw3,12,,
lu5lslu,13,,
lu87psz,14,COL,
lu8e892,15,COL,
lu5st5j,16,,
lu5my5c,17,COL,
lu8k2hj,18,COL,
lu5p1ns,19,,
lu68s1u,20,,
lu5m0ss,21,YC,
lu5pe3e,22,YC,
lu67xm6,23,,
lu5e4w2,24,,
lu5ij8u,25,,
lu5ehez,26,,
lu5fgpc,27,,
lu5eku6,28,,
lu5ehyd,29,,
lu5jcmm,30,,
lu5fbdj,31,,LNP
lu5i1uj,32,,LNP
lu5yoen,33,,LNP
lu8tds8,34,,LNP
lu5ema3,35,,
lu83cz0,36,,ALP
lu5m703,37,,LNP
lu5izj5,38,,LNP
lu5guua,39,,
lu5epbo,40,,LNP
lu5j5fb,41,,LNP
lu8tjr9,42,,LNP
lu5cyxc,43,,
lu5dkpt,44,,
lu5cmb9,45,,
lu5dhtu,46,,
lu5dp6i,47,,
lu5gsis,48,,
lu5cakg,49,,
lu89c8x,50,,
lu90nkj,51,,
lu9ep8m,52,,
lu5ddog,53,,
lu5gq9e,54,,
lu8stlq,55,,
luardeq,56,,
lu9jx9k,57,,
lu9s2b0,58,,
lu5e4ei,59,,
lu5j7f2,60,,
lubf7p5,61,,
lu5hke5,62,,
lu5edp5,63,,
lu5eddd,64,,
lu8hnn5,65,,
lu8zb2o,66,,
lu5h6im,67,,
lu5gt4d,68,,
lu5iws8,69,,
lu5xofa,70,,
lu5hquz,71,,
lu5rrct,72,,
lu5inhs,73,,
lu5hjj0,74,,
lu88gh5,75,,
lu5lm55,76,,
lu5ixcd,77,,
lu8abgj,78,,
lu8vuis,79,,
lu55k62,80,,
lu8pmt7,81,,
lubh3v1,82,,
lu57uya,83,,
lu8tvs1,84,,
lu56d74,85,EI,LNP
lu5jxjg,86,,
lu7e5v1,87,,ALP
lu9m68a,88,,
lu8v1qb,89,,
lu57nh2,90,,
lu94dc1,91,,
lu5kko6,92,,
lu9bsc0,93,,
lufd4qw,94,,
lu5b3s0,95,EI,LNP
lu66kto,96,,
lu8x60g,97,,
luaw7px,98,EI,
lu9v472,99,,
lu9xvcv,100,,
luav1th,101,EI,
lu5azrw,102,YC,LNP
lu5lgv5,103,YC,LNP
lu5327u,104,YC,
lu5ogpi,105,YC,LNP
lu97rd6,106,YC,LNP
lu595dd,107,YC,LNP
lu5h96o,108,,
lu8oda8,109,YC,LNP
lu975uc,110,YC,LNP
lu8w3ct,111,YC,LNP
lu563uq,112,YC,
lu8xe3s,113,YC,LNP
lu63xt9,114,,
lu57epw,115,YC,LNP
lu5nloz,116,,
lu5a1to,117,,
lu5x7gj,1,,ALP
lu9mhcp,2,,
lu5p4tx,3,,
lu9k94m,4,YC,
lu95pj2,5,YC,LNP
lu62xcm,6,,
lu9ifxd,7,YC,
lu83kqh,8,YC,LNP
lu6r17c,9,,
lu60vda,10,H,ALP
lu5aigr,11,YC,LNP
lu65yd6,12,,ALP
lu6dfgm,13,,
lu5xns8,14,YC,LNP
lu9rhvz,15,YC,
lu84o6k,16,YC,
lu67z46,17,,ALP
lu9xfyy,18,YC,
lubwmga,19,,
lu814i7,20,,ALP
lu8l3p0,21,YC,LNP
lu8m42b,22,,
lu98rk5,23,,LNP
lu9zjkb,24,,
lu4xfty,25,,
lu55bqh,26,EI,
lu584tm,27,EI,
lu637p7,28,EI,
lu51shy,29,EI,
lu50nvt,30,EI,
lu558m7,31,EI,
lu4zwhd,32,,
lu5jwmk,33,,
lu99166,34,EI,
lu557hl,35,EI,
lu8r82v,36,EI,
lu940mt,37,EI,
lu58hyq,38,EI,
lu4zdt9,39,EI,
lu56m15,40,EI,
lu83cy7,41,EI,
lu54is8,42,EI,
lu50x3e,43,EI,
luag58d,44,EI,
lu5176g,45,EI,
lu50m5z,46,EI,
lu80oxw,47,EI,
luaurcz,48,EI,
lu5pbxx,49,EI,
lu9b67y,50,EI,
lu4zs84,51,EI,
lu570q6,52,EI,
lu56d6y,53,EI,
lu5n4g7,54,EI,
lu5ntns,55,EI,
lu5239g,56,EI,
lu51j65,57,EI,
lu5822i,58,EI,
lu51ph2,59,EI,
luavwcp,60,EI,
lu52zje,61,EI,
lu53h8s,62,EI,
lu9z1h8,63,EI,
lu5v7qz,64,EI,
lu9f8vi,65,EI,
lu58rbo,66,EI,
luavlq2,67,EI,
luavuqj,68,EI,
lu5y6ue,69,EI,
lu52iej,70,EI,
lu543s5,71,EI,
lu5l9m3,72,EI,
lu531if,73,EI,
lu523bt,74,EI,
lu89oos,75,EI,
lubr9sx,76,EI,
lu58hut,77,EI,
lua7rfi,78,EI,
lu8tu3u,79,EI,
lu5ak3p,80,,
luavhgh,81,EI,
lu6qxjv,82,EI,
lu535gt,83,EI,
lu54ya1,84,EI,
lu5m1qh,1,EI,ALP
lu58697,2,,
luav41k,3,,
lu5c5re,4,,
luafufj,5,EI,
lu53gul,6,EI,
lu5p74k,7,EI,
luazfct,8,,
lu5sn8n,9,EI,
lu4t605,10,COL,ALP
lu4ry6o,11,,
lu4s3wf,12,COL,Greens
lu4qjhk,13,COL,Greens
lu4tftk,14,COL,Greens
lu4tpq3,15,,Greens
lu4ufu8,16,AL,
lu5ym8x,17,,ALP
lu57f41,18,,Greens
lu4puby,19,,Greens
lu4w28m,20,COL,ALP
lu4t66w,21,COL,ALP
lu4qwa3,22,COL,Greens
lu4rr3o,23,COL,
lu507ok,24,COL,Greens
lu4qyrj,25,COL,ALP
lu4tspw,26,COL,ALP
lu4u0wb,27,,KAP
lu4v9cs,28,,Greens
lu4x74g,29,,ALP
lu4xygx,30,COL,
lu54hyn,31,COL,ALP
lu4r2b5,32,COL,ALP
lu4uuru,33,,Greens
lu4u35d,34,,Greens
lubnr64,35,COL,ALP
lu4vt2w,36,,Greens
lubw89a,37,COL,ALP
lu4w3hb,38,YC,
luea79r,39,,LNP
lu4je0x,40,,
lu4jc8m,41,,
lu4k5uq,42,,
lu4x1c1,43,,
lu4hgnv,44,,
lu4jl5b,45,,
lu4l3lh,46,,
lu4jl9z,47,,
lu4m6sx,48,,
lu4meb9,49,,
lu4pdxm,50,,
lu576ej,51,,
lu4iqfa,52,EI,
lu4pked,53,,
lu4j774,54,,
lu4n5lt,55,,
lu4jetx,56,,
lu4jim7,57,,
lu4lpkv,58,,
lu4kvb2,59,,
lu57d3a,60,,
lu4m0bv,61,,
lu4l298,62,,
lu55m5b,63,,
lu4j0fc,64,,
lu55im6,65,,
lu4nnog,66,,
lu4kl9r,67,,
lu4mpea,68,,
lu4nc1c,69,,
lu4my2m,70,EI,
lu4msde,71,EI,
lu4mhvf,72,,
lu5ad47,73,,
lu4lmmf,74,EI,
lu4l5n0,75,EI,
lu4o1o6,76,,
lu4lx8r,77,,
lu4lc99,78,EI,
lu4qddr,79,EI,
lu55fij,80,EI,
lu5bo5c,81,EI,
lu5glxd,82,,
lu4o2wc,83,,
lu4t1wq,84,,
lu664jo,85,COL,LNP
lu4wbqn,86,,LNP
lu55237,87,,
lu578hr,88,,
lu5eckf,89,,
lu55yqb,90,COL,ALP
lu4dyd4,91,,
lu4f1o9,92,,
lu522b3,93,,
lu4ayov,94,,
lu48so4,95,,
lu4y3w4,96,,
lu47zcp,97,,
lu58m9v,98,,
lu4e8mn,99,,
lu8w9go,100,,
lu693g3,101,,
lu54uql,102,,
lu4yisk,103,,
lu5d75n,104,,
lu5dmsy,105,,
lu5efkr,106,,
lu5htr1,107,,
lu4f3xz,108,,
lu4jxl6,109,,
lu4i632,110,,
lu4ipp0,111,,
lu4k0tp,112,,
lu4fmlc,113,,
lu4p7e8,114,,
lu4kkph,115,,
lu4o6sr,116,,
lu4wvap,117,,
lu4rnyw,118,,
lu56m04,119,,
lu4zety,120,,
lu57q38,121,,
lu4rt5b,122,,
lu4yvd3,123,,
lu4k811,124,,
lu4ln9v,125,,
lu4jrxp,126,,
lu4lyw8,127,,
lu4wn83,128,,
lu9wr48,129,,
lua2zqw,130,,
luafdf3,131,,
lube9ck,132,,
lu55891,133,,
lu7x2vf,134,,
lu5kjj8,135,,
lu5jev1,136,,
lu5e436,137,,
lu9onks,1,,
lu5jgxk,2,,
lu5pjaq,3,,
lu4vp6a,4,COL,LNP
lu4l9tq,5,,ALP
lu5oduv,6,,LNP
lu9wloc,7,,
lu4z5y2,8,,
lu55haa,9,,
lu55koc,10,,LNP
lubsbo8,11,,
lubsfto,12,AL,LNP
lubj4ky,13,,
lu5b6qx,14,,
lu5d97t,15,,
lu9qty0,16,,
lu5pl53,17,,
lu5ppim,18,,
lu4lijz,19,,
lu5ejva,20,EI,
lu64tmc,21,,
lu5kenh,22,,
lu8ivtf,23,EI,
lu8nal4,24,,
lu8o9rf,25,,
lu90hjs,26,,
lu9jniv,27,,
lu9r69k,28,,
lu9t7f3,29,EI,
lua2tk4,30,EI,
luay0i3,31,EI,
lub1bgv,32,,
lubjn4z,33,EI,
lubk6cv,34,EI,
lublqyn,35,EI,
lubp331,36,,LNP
lubso3u,37,EI,
luc06ip,38,EI,
lueq6ds,39,EI,
lufda6s,40,EI,
lu46x04,41,,Greens
lu3ztre,42,,Greens
lu4ni5g,43,,Greens
lu450gd,44,,Greens
lu3y2bn,45,,Greens
lu4bdmp,46,,Greens
lu3zr7w,47,,ALP
lu426fs,48,,Greens
lu48zhm,49,,Greens
lu41bje,50,AL,KAP
lu4l256,51,,Greens
lu49v10,52,,Greens
lu4qlyk,53,,Greens
lu4doxk,54,,Greens
lu63aet,55,,Greens
lu43bxk,56,,Greens
lu4dcwn,57,,
lu4ze1z,58,,Greens
lu4lj4w,59,,Greens
lu49ngp,60,,Greens
lu514nq,61,,Greens
lu565re,62,,ALP
lu56952,63,,ALP
lu425qw,64,,Greens
lu4gxf2,65,,Greens
lu45aen,66,,Greens
lu4kxjd,67,,ALP
lu4t5fh,68,,
lu4b71a,69,,
lu50pbe,70,,Greens
lu461mo,71,,Greens
lu4jgjn,72,,Greens
lu40c6j,73,COL,ALP
lu48jp4,74,,Greens
lu476gt,75,YC,LNP
lu4k92o,76,,Greens
lu6pq43,77,,Greens
lu4bwap,78,,Greens
lu5fr3x,79,,Greens
lu94i7c,80,,Greens
lubwcjz,81,,Greens
lu4ck9v,82,,Greens
lu4vkq1,83,,Greens
lu4cewf,84,,ALP
lu4xr5q,85,,Greens
lu5aowl,86,,Greens
lu46kjw,87,,
lu4woay,88,,ALP
lu5az0x,89,COL,ALP
lu5qqhp,1,,Greens
lu44j1i,2,,ALP
lu4q0q0,3,,Greens
lu47qx8,4,COL,ALP
lu4w5ic,5,,Greens
lu4xl0w,6,COL,Greens
lu4at6m,7,,Greens
lu918c7,8,COL,ALP
lu3yb8v,9,COL,Greens
lu4oxma,10,,Greens
lu55nly,11,,Greens
lu49ook,12,,ALP
lu9009u,13,,Greens
lu4veou,14,COL,Greens
lu4o4oq,15,,Greens
lu4nunz,16,,Greens
lu9frlg,17,,
lu45iep,18,YC,ALP
lu4jse6,19,,ALP
lu46fgy,20,,LNP
lu5aip2,21,,Greens
lu4e6ia,22,,Greens
lu4n6mn,23,AL,ALP
lu4rf9r,24,,Greens
lu4d6qx,25,,Greens
lu4fvgz,26,,Greens
lu47oh6,27,COL,Greens
lu441fj,28,,Greens
lu4h7bk,29,,Greens
lu43qyq,30,,
lu44bkl,31,COL,Greens
lu46fxr,32,,
lu42up8,33,,Greens
lu4uvag,34,,Greens
lu4cxv4,35,,
lu9rvuy,36,AL,Greens
lu6gy4b,37,,Greens
lu4g5dn,38,,
lu49upt,39,,Greens
lu46k0d,40,,Greens
lu4plnn,41,AL,Greens
lu4a86w,42,,ALP
lu4crfc,43,COL,Greens
lu4evnh,44,YC,ALP
lu4e4t7,45,YC,
lu4ej83,46,,Greens
lu4f6mj,47,,Greens
lu4fhsz,48,,Greens
lu4vm71,49,,ALP
lu4f330,50,,Greens
lu4h02k,51,,Greens
lu4prkp,52,COL,Greens
lu5y147,53,,
lu42sc4,54,COL,Greens
lu4302l,55,COL,Greens
lu4a9xf,56,,Greens
lu4vthe,57,,
lu4v1aj,58,,Greens
lu45zof,59,,ALP
lu4eehv,60,,ALP
lu47qg3,61,,Greens
lu4h20u,62,,
lu4och4,63,,
lu4par7,64,,Greens
lu542cl,65,COL,Greens
lu4zws3,66,,
lu58vxy,67,,Greens
lu63v28,68,,Greens
lu4f1ap,69,,Greens
lu4epq0,70,,Greens
lu4d5sv,71,,
lu4ykb3,72,,ALP
lu4b1nn,73,,Greens
lu4ccnp,74,COL,Greens
lu59d25,75,,Greens
lu56aha,76,,Greens
lu9ra6c,77,,Greens
lu4mju7,1,COL,ALP
lu4dh3g,2,,
lu49kb8,3,,Greens
lu4cjl7,4,COL,
lu482xl,5,,Greens
lu47r4f,6,,ALP
lu4vqa3,7,,Greens
lu4fcz1,8,,Greens
lub85fp,9,,Greens
lu6juv5,10,COL,Greens
lu4ip3w,11,,LNP
lu47siw,12,,
lu5sesg,13,,Greens
lu4fq04,14,,
lu4x3sm,15,,
lu4wxfx,16,,
lu4gslc,17,YC,ALP
lu4w1xw,18,,LNP
lu4s9vl,19,,
lu4slkr,20,,Greens
lu4p6bv,21,,Greens
lu649l5,22,,
lu4vphx,23,,Greens
lu5f55y,24,,Greens
lu4ykit,25,,Greens
lu8q1m0,26,,Greens
lu48wd8,27,AL,LNP
lu4ir7d,28,,ALP
lu4wvnx,29,,Greens
lu4q9ra,30,,Greens
lu4ryfl,31,,Greens
lu4i67g,32,,ALP
lu4ro2q,33,EI,ALP
lu4ott1,34,,ALP
lu4c9xg,35,,Greens
lu4opyr,36,COL,Greens
lu4h7zn,37,COL,ALP
lu54rzo,38,,Greens
lu97zuu,39,,
lu4jfop,40,,ALP
lu4vfel,41,,ALP
lu5ykeg,42,,
lu5754h,43,,
lu4y5mr,44,,
lu4in3q,45,,ALP
lu5k4ed,46,,
lu4vcfn,47,,Greens
lu5x8fm,48,,Greens
lu4wow5,49,EI,Greens
lu5dgo4,50,EI,Greens
lu4dpl9,51,,ALP
lu4lrwn,52,,
lu573ho,53,,
lu4sytw,54,COL,Greens
lu4sgge,55,,ALP
lu511ah,56,,
lu4v156,57,,ALP
lu6jzqf,58,,
lu4eua9,59,COL,Greens
lu4ye69,60,,Greens
lu9d259,61,,Greens
lu4vmz9,62,,
lu4vyll,63,,ALP
lu4yl5i,64,YC,LNP
lu51b46,65,,
lu5ka7u,66,,
lu4wxmo,67,,
lu86jl3,68,EI,
lu591qb,69,EI,ALP
lu4mrs3,70,YC,LNP
lu82noa,71,,
lu4syu2,72,,ALP
lu53y2a,73,,
lu4fl1l,74,,Greens
lu5kani,75,,
lu5kpt1,76,,
lu8viq5,77,EI,
lub69c8,78,,
lu5hn1x,79,EI,
lu97t86,80,,
lu4tovl,81,YC,LNP
lu4z1ns,82,,Greens
lu9tunl,83,,
lu4gq5s,84,,
lu5ruv1,1,COL,Greens
lu5peek,2,,
lu5kydp,3,,
lu4z9yc,4,,
luav8zh,5,,
lu4odku,6,COL,Greens
lu5ry8f,7,COL,Greens
lu51t6m,8,COL,ALP
lub7b42,9,,
lu52lmd,10,,
lu3rves,11,,
lu3unzd,12,COL,LNP
lu3saq7,13,COL,
lu3tb5t,14,COL,
lu3znmj,15,COL,LNP
lu3z6jy,16,,
lu41cg5,17,COL,LNP
lu45a85,18,COL,
lu3sk82,19,COL,
lu4778r,20,COL,
lu3rxx8,21,COL,
lu4z6q7,22,COL,
lu52hhz,23,COL,
lu3sftt,24,COL,
lu67g7k,25,COL,
lu3ztc8,26,COL,
lu3v8bk,27,COL,
lu40xrh,28,COL,
lu40cqq,29,COL,
lu47p7q,30,COL,
lu4sr4a,31,COL,
lu6g1jk,32,COL,ALP
lu45vqs,33,COL,
lu3ro2l,34,COL,
lu3ycz8,35,COL,
lu4p78q,36,COL,
lu3y16o,37,COL,
lu5h5mc,38,COL,
lu3sc12,39,COL,
lu3znbh,40,COL,
lu4037y,41,COL,
lu42o23,42,COL,
lu450m9,43,COL,
lu48utv,44,COL,
lu4afnx,45,COL,
lu4bbgy,46,COL,
lu4bvjd,47,COL,
lu4dpjg,48,COL,
lu4dv8p,49,,
lu4eibv,50,COL,
lu4gayu,51,COL,
lu4m70x,52,COL,
lu4mncv,53,COL,
lu4qiar,54,COL,
lu4s9ly,55,COL,
lu4umuk,56,COL,
lu4wivy,57,COL,
lu51u1q,58,COL,
lu573mq,59,COL,
lu5te1q,60,COL,
lu7vlw8,61,COL,
lu95li5,62,COL,
lubkkl7,63,COL,LNP
lucis93,64,COL,
lu464z4,65,COL,
lu50dm5,66,COL,Greens
lu428ua,67,COL,
lu42i6l,68,COL,
lu47eyl,69,COL,
lu4bmvx,70,COL,
lu4oacq,71,COL,
lu4tqsh,72,COL,
lu4ttkh,73,COL,
lu4wy7i,74,COL,
lu557t2,75,COL,
lu5flcp,76,COL,
lu44lus,77,COL,
